Method,Similarity_measure,Number_of_neighbors,Train_percentage,Test_percentage,Error_measure,Error_value,Time
User_based,pearson_correlation,100,30,10,MAE,0.5985036808369251,540.5981047153473
User_based,pearson_correlation,100,30,10,Zero-one,0.18335368335368335,540.5981047153473
User_based,cosine_similarity,10,30,10,RMSE,2.064414098662827,102.2829327583313
User_based,cosine_similarity,10,30,10,MAE,1.4823493155537357,102.2829327583313
User_based,cosine_similarity,10,30,10,Zero-one,0.21743996743996744,102.2829327583313
User_based,cosine_similarity,25,30,10,RMSE,1.706686923060133,170.7443459033966
User_based,cosine_similarity,25,30,10,MAE,1.1948007683231714,170.7443459033966
User_based,cosine_similarity,25,30,10,Zero-one,0.22761497761497762,170.7443459033966
User_based,cosine_similarity,50,30,10,RMSE,1.4599807530162339,293.21291947364807
User_based,cosine_similarity,50,30,10,MAE,1.0260243690963224,293.21291947364807
User_based,cosine_similarity,50,30,10,Zero-one,0.2326007326007326,293.21291947364807
User_based,cosine_similarity,100,30,10,RMSE,1.2688849933584028,537.4472980499268
User_based,cosine_similarity,100,30,10,MAE,0.9056177559472489,537.4472980499268
User_based,cosine_similarity,100,30,10,Zero-one,0.22598697598697598,537.4472980499268
User_based,mean_squared_difference,10,30,10,RMSE,2.0591476978386365,95.4241373538971
User_based,mean_squared_difference,10,30,10,MAE,1.4207077563772537,95.4241373538971
User_based,mean_squared_difference,10,30,10,Zero-one,0.18284493284493283,95.4241373538971
User_based,mean_squared_difference,25,30,10,RMSE,1.5867709957805116,169.87420916557312
User_based,mean_squared_difference,25,30,10,MAE,1.0316264556053125,169.87420916557312
User_based,mean_squared_difference,25,30,10,Zero-one,0.1908831908831909,169.87420916557312
User_based,mean_squared_difference,50,30,10,RMSE,1.2779968179483747,290.1910984516144
User_based,mean_squared_difference,50,30,10,MAE,0.824650752243058,290.1910984516144
User_based,mean_squared_difference,50,30,10,Zero-one,0.18457468457468457,290.1910984516144
User_based,mean_squared_difference,100,30,10,RMSE,1.0421587246886952,528.5049090385437
User_based,mean_squared_difference,100,30,10,MAE,0.6977074388146084,528.5049090385437
User_based,mean_squared_difference,100,30,10,Zero-one,0.17124542124542125,528.5049090385437
User_based,mean_absolute_difference,10,30,10,RMSE,2.048732502698874,96.7209415435791
User_based,mean_absolute_difference,10,30,10,MAE,1.4102752990926797,96.7209415435791
User_based,mean_absolute_difference,10,30,10,Zero-one,0.18742368742368742,96.7209415435791
User_based,mean_absolute_difference,25,30,10,RMSE,1.5582134630916635,171.12745594978333
User_based,mean_absolute_difference,25,30,10,MAE,0.9999712394573874,171.12745594978333
User_based,mean_absolute_difference,25,30,10,Zero-one,0.17867317867317867,171.12745594978333
User_based,mean_absolute_difference,50,30,10,RMSE,1.2555354785197697,286.5372636318207
User_based,mean_absolute_difference,50,30,10,MAE,0.803955655549581,286.5372636318207
User_based,mean_absolute_difference,50,30,10,Zero-one,0.17216117216117216,286.5372636318207
User_based,mean_absolute_difference,100,30,10,RMSE,1.0398134083448631,527.1616208553314
User_based,mean_absolute_difference,100,30,10,MAE,0.6899117025103696,527.1616208553314
User_based,mean_absolute_difference,100,30,10,Zero-one,0.17073667073667073,527.1616208553314
User_based,pearson_correlation,10,30,20,RMSE,1.6185907307595306,111.13296723365784
User_based,pearson_correlation,10,30,20,MAE,1.048239345264617,111.13296723365784
User_based,pearson_correlation,10,30,20,Zero-one,0.20973654368522376,111.13296723365784
User_based,pearson_correlation,25,30,20,RMSE,1.2580849934493543,184.08511757850647
User_based,pearson_correlation,25,30,20,MAE,0.8094314678074424,184.08511757850647
